count,subject,exact,broader,iconclass subject,note
2207,Madonna and Child,11F4,,,
1860,Portrait of a Man,61B11 : 31A71,,,
1598,Portrait of a Lady,,61B11 : 31A72,,
1171,Self-Portrait,48B3,,,
1091,Landscape,25H,,,
649,Adoration of the Magi,73B57,,,
640,Crucifixion,73D5,,,
638,George Washington,,61B2(...),,
622,Holy Family,73B8,,,
611,Pietà,73D722,,,
599,Portrait of a Gentleman,,61B11 : 31A71,,
578,Still Life,41E,,,
503,Annunciation,73A5,,,
447,Virgin and Child,11F4,,,
433,Portrait of a Woman,61B11 : 31A72,,,
385,Adoration of the Shepherds,73B25,,,
370,Portrait of a Young Man,61B11 : 31D12,,,
364,Nativity,73B13,,,
296,Self Portrait,48B3,,,
236,Ecce Homo,73D36,,,
226,Coronation of the Virgin,73E79,,,
201,Crucifix,73D6,,,
200,Portrait of a Young Woman,61B11 : 31D13,,,
193,Untitled,,,,
186,Assumption of the Virgin,73E78,,,
168,Landscape with Figures,25H(+1),,,
166,Madonna and Child Enthroned,11F42,,,
162,Portrait of a Boy,61B11 : 31D11221,,,
162,St. Jerome,11H(JEROME),,,
162,St. Sebastian,11H(SEBASTIAN),,,
160,St. John the Baptist,11H(JOHN THE BAPTIST),,,
156,Mother and Child,42A3,,,
143,Deposition,73D71,,,
143,Portrait of a Girl,61B11 : 31D11222,,,
137,Christ Carrying the Cross,73D41,,,
132,Madonna and Child with Two Angels,,11F62(+3),specific types of Madonna with others (+ angel(s)),
127,Immaculate Conception,11F232,,,
123,Benjamin Franklin,,61B2(...),,
122,Portrait de Femme,61B11 : 31A72,,,
122,Portrait of the Artist,48B3,,,
119,Retable,,,,
117,Head of a Woman,31A221(+82),,,
115,Head of a Man,31A221(+81),,,
115,Portrait of a Young Girl,61B11 : 31D11222(+821),,,
112,Portrait d'Homme,61B11 : 31A71,,,
112,St. Peter,11H(PETER),,,
111,Portrait of a Young Lady,,61B11 : 31A72(+821),,
110,Marine,25H23,,,
107,Paysage,25H,,,
106,Madonna and Child with Saints,11F611,,,
103,Madonna and Child with Angels,11F62(+3),,,
101,(Landscape),25H,,,
98,Abraham Lincoln,,61B2(...),,
98,Flowers,25G41,,,
94,Italian Landscape,,25H,,
93,Nude,31A,,,
90,Presentation in the Temple,73B4,,,
88,Rest on the Flight to Egypt,73B65,,,
86,Baptism of Christ,73C12,,,
86,Winter Landscape,23F41,,,
85,Head of a Girl,,31A2211,,
85,Last Supper,73D2,,,
85,St. Paul,11H(PAUL),,,
85,Venus and Cupid,92C454,,,
79,Christ on the Cross,73D6,,,
79,Venice,25I(VENICE),25I,,
78,Madonna and Child in a Landscape,,11F4,,
78,St. John the Evangelist,11H(JOHN),,,
77,Portrait of a Nobleman,,61B11,,
75,Head of Christ,,,,
75,Henry Clay,,61B2(...),,
75,Portrait of a Youth,,61B11,,
75,River Scene,25H213,,,
75,St. Mary Magdalen,11HH(MARY MAGDALENE),,,
74,St. Christopher,11H(CHRISTOPHER),,,
73,Adam and Eve,71A,,,
73,Christ Blessing,,11D3,,
73,Figure Studies,,31A,,
73,Head of an Old Man,,31A2211,,
73,Interior,41A2,,,
73,Triptych,,,,
72,Mystic Marriage of St. Catherine,11HH(CATHERINE)34,,,
71,Autumn,23F44,,,
71,Daniel Webster,,61B2(...),,
71,Seascape,25H23,,,
70,Andrew Jackson,,61B2(...),,
70,Flight into Egypt,73B64,,,
70,St. Francis,11H(FRANCIS),,,
68,Birth of the Virgin,73A31,,,
68,Entombment,73D76,,,
68,Portrait of a Child,61B11 : 31D112,,,
68,St. Catherine,11HH(CATHERINE),,,
67,Ceiling Decoration,,,,
67,Thomas Jefferson,,61B2(...),,
67,Winter,23F41,,,
65,Portrait of an Old Man,61B11 : 31D16,,,
65,Portrait,61B11,61B1,,
65,Scene,61A,,,
65,Spring,23F42,,,
